RSI,MACD,MACD_signal
50.123535569476076,-9.37038054788718,-98.8060690706076
41.02814089507703,-63.82973255394609,-91.81080176727531
37.564846300129695,-132.77994016492448,-100.00462944680515
34.60983931000232,-210.65591547079384,-122.1348866516029
38.11033723560608,-252.3320110469649,-148.1743115306753
42.375287369103255,-260.36437070298416,-170.6123233651371
44.8806856086406,-250.37246592403972,-186.5643518769176
47.09817665110395,-227.76806798127654,-194.8050950977894
45.24582579296994,-218.72863292090187,-199.5898026624119
43.100397909245665,-222.39439026197942,-204.15072018232541
39.95149322700505,-243.16882247778994,-211.95434064141833
33.9783531961942,-302.33547082376026,-230.03056667788672
34.38917679731743,-343.46996202559967,-252.7184457474293
32.57247194645956,-386.5630253657873,-279.4873616711009
38.49526780006645,-390.9035960697365,-301.77060855082806
43.13628349623928,-368.2656546432845,-315.0696177693194
